Ticker,Name,Network,Description,Current Price,FV Low,FV High,vs Cycle Peak Low,vs Cycle Peak High,Current Price from FV
BTC,Bitcoin,Digital Gold,,68104,55000,65000,-49%,-56%,"-5% to -19%"
ETH,Ethereum,Largest smart contract network,,2105,2000,2200,-56%,-60%,"Within ""fair value"" range"
MORPHO,Ethereum,Lend/borrow application on Base & Ethereum,,1.51,0.3,0.5,-87%,-92%,"-67% to -80%"
ENA,Ethereum,Leading onchain yield-bearing stablecoin,,0.0908,0.08,0.12,-91%,-94%,"Within ""fair value"" range"
WLD,Ethereum,Leading onchain identity solution + L2 network and app store,,0.2761,0.25,0.35,-97%,-98%,"Within ""fair value"" range"
PENDLE,Ethereum,Leading onchain interest rate derivative market,,1.098,0.65,0.85,-89%,-91%,"-23% to -41%"
AAVE,Ethereum,Leading DeFi lending application on Ethereum,,98.49,70,90,-77%,-82%,"-9% to -29%"
UNI,Ethereum,Leading public DEX on Ethereum + emerging L2 network,,3.55,3,3.5,-82%,-85%,"-1% to -15%"
PEPE,Ethereum,"Leading ""culture coin"" on Ethereum",,0.000003,0.000002,0.000003,-89%,-93%,"-12% to -41%"
SPX6900,Ethereum,Strongest memecoin holder base in crypto,,0.2716,0.2,0.3,-87%,-91%,"Within ""fair value"" range"
SOL,Solana,Leading Smart Contract Network,,82.91,75,90,-65%,-71%,"Within ""fair value"" range"
PUMP,Solana,Asset issuance & trading serving consumer retail,,0.001678,0.001,0.0015,-83%,-89%,"-11% to -40%"
KAMINO,Solana,Leading lend/borrow app on Solana,,0.0168,0.02,0.03,-87%,-92%,Deep Value
JTO,Solana,Leading execution service on Solana serving validators,,0.2825,0.2,0.25,-95%,-96%,"-11% to -29%"
JUP,Solana,Leading DEX aggregator on Solana,,0.1588,0.1,0.13,-93%,-95%,"-18% to -37%"
RAY,Solana,Leading Public DEX on Solana + launchpad,,0.6191,0.6,0.7,-92%,-93%,"Within ""fair value"" range"
DOUBLEZERO,Solana,Fiber optic networking for blockchains (focus on Solana initially),,0.0794,0.04,0.05,-93%,-95%,"-37% to -50%"
BONK,Solana,Leading memecoin community on Solana,,0.000006,0.0000035,0.000005,-92%,-94%,"-15% to -40%"
USELESS,Solana,Mid-cap memecoin with liquidity and community,,0.0312,0.022,0.03,-93%,-95%,"-4% to -30%"
HYPE,Hyperliquid,Leading Perps DEX + emerging L1,,36.75,18,24,-60%,-70%,"-35% to -51%"
ZCASH,Zcash,Private Bitcoin,,254,50,85,-88%,-93%,"-67% to -80%"
COIN,Crypto Equity,Crypto financial services,,174.6,120,140,-69%,-73%,"-20% to -31%"
HOOD,Crypto Equity,Crypto financial services,,69.3,40,60,-61%,-74%,"-13% to -42%"
GLXY,Crypto Equity,Crypto financial services + AI infrastructure,,18.45,10,15,-67%,-78%,"-19% to -46%"
BNB,Binance Smart Chain,Leading L1 + exposure to Crypto East market,,618.5,550,600,-56%,-60%,"-3% to -11%"
AVAX,Avalanche,Emerging smart contract network,,8.92,9,11,-83%,-86%,Deep Value
SUI,SUI,Emerging smart contract network,,0.8789,0.55,0.75,-86%,-90%,"-15% to -37%"
TIA,Celestia,Leading data availability network/hedge on Ethereum L1,,0.2973,0.3,0.4,-98%,-99%,Deep Value
MON,Monad,Emerging smart contract network,,0.0249,0.008,0.01,-98%,-98%,"-60% to -68%"
TAO,Bittensor,"Decentralized, open-source AI protocol",,306.7,90,105,-86%,-88%,"-66% to -71%"
